,Date,State,Total Doses Administered
2679,2021-12-02,Uttar Pradesh,863157
2680,2021-02-13,Uttar Pradesh,864381
2681,2021-02-14,Uttar Pradesh,864489
2682,2021-02-15,Uttar Pradesh,975211
2683,2021-02-16,Uttar Pradesh,975907
2684,2021-02-17,Uttar Pradesh,976088
2685,2021-02-18,Uttar Pradesh,1054867
2686,2021-02-19,Uttar Pradesh,1234270
2687,2021-02-20,Uttar Pradesh,1236861
2688,2021-02-21,Uttar Pradesh,1237359
2689,2021-02-22,Uttar Pradesh,1339406
2690,2021-02-23,Uttar Pradesh,1342030
2691,2021-02-24,Uttar Pradesh,1342318
2692,2021-02-25,Uttar Pradesh,1521544
2693,2021-02-26,Uttar Pradesh,1668629
2694,2021-02-27,Uttar Pradesh,1668629
2695,2021-02-28,Uttar Pradesh,1668631
2696,2021-01-03,Uttar Pradesh,1668631
2697,2021-02-03,Uttar Pradesh,1681659
2698,2021-03-03,Uttar Pradesh,1682667
2699,2021-04-03,Uttar Pradesh,1824296
2700,2021-05-03,Uttar Pradesh,1988090
2701,2021-06-03,Uttar Pradesh,2014991
2702,2021-07-03,Uttar Pradesh,2019181
2703,2021-08-03,Uttar Pradesh,2216711
2704,2021-09-03,Uttar Pradesh,2249960
2705,2021-10-03,Uttar Pradesh,2276574
2706,2021-11-03,Uttar Pradesh,2282223
2707,2021-12-03,Uttar Pradesh,2606762
2708,2021-03-13,Uttar Pradesh,2651620
2709,2021-03-14,Uttar Pradesh,2668063
2710,2021-03-15,Uttar Pradesh,2988841
2711,2021-03-16,Uttar Pradesh,3201161
2712,2021-03-17,Uttar Pradesh,3308090
2713,2021-03-18,Uttar Pradesh,3733558
2714,2021-03-19,Uttar Pradesh,4050385
2715,2021-03-20,Uttar Pradesh,4198563
2716,2021-03-21,Uttar Pradesh,4222333
2717,2021-03-22,Uttar Pradesh,4547803
2718,2021-03-23,Uttar Pradesh,4748492
2719,2021-03-24,Uttar Pradesh,4852942
2720,2021-03-25,Uttar Pradesh,5117629
2721,2021-03-26,Uttar Pradesh,5329229
2722,2021-03-27,Uttar Pradesh,5405643
2723,2021-03-28,Uttar Pradesh,5409103
2724,2021-03-29,Uttar Pradesh,5409120
2725,2021-03-30,Uttar Pradesh,5435678
2726,2021-03-31,Uttar Pradesh,5497184
2727,2021-01-04,Uttar Pradesh,5711292
2728,2021-02-04,Uttar Pradesh,6043860
2729,2021-03-04,Uttar Pradesh,6267728
2730,2021-01-16,Uttarakhand,511
2731,2021-01-17,Uttarakhand,556
2732,2021-01-18,Uttarakhand,517
2733,2021-01-19,Uttarakhand,1141
2734,2021-01-20,Uttarakhand,1141
2735,2021-01-21,Uttarakhand,1874
2736,2021-01-22,Uttarakhand,3163
2737,2021-01-23,Uttarakhand,3238
2738,2021-01-24,Uttarakhand,3592
2739,2021-01-25,Uttarakhand,7969
2740,2021-01-26,Uttarakhand,8052
2741,2021-01-27,Uttarakhand,9374
2742,2021-01-28,Uttarakhand,14440
2743,2021-01-29,Uttarakhand,20864
2744,2021-01-30,Uttarakhand,23922
2745,2021-01-31,Uttarakhand,26517
2746,2021-01-02,Uttarakhand,32705
2747,2021-02-02,Uttarakhand,39523
2748,2021-03-02,Uttarakhand,50614
2749,2021-04-02,Uttarakhand,59962
2750,2021-05-02,Uttarakhand,66129
2751,2021-06-02,Uttarakhand,70338
2752,2021-07-02,Uttarakhand,71384
2753,2021-08-02,Uttarakhand,76758
2754,2021-09-02,Uttarakhand,83729
2755,2021-10-02,Uttarakhand,89655
2756,2021-11-02,Uttarakhand,97287
2757,2021-12-02,Uttarakhand,104337
2758,2021-02-13,Uttarakhand,110369
2759,2021-02-14,Uttarakhand,111986
2760,2021-02-15,Uttarakhand,119761
2761,2021-02-16,Uttarakhand,126204
2762,2021-02-17,Uttarakhand,131225
2763,2021-02-18,Uttarakhand,135708
2764,2021-02-19,Uttarakhand,143945
2765,2021-02-20,Uttarakhand,146541
2766,2021-02-21,Uttarakhand,146976
2767,2021-02-22,Uttarakhand,151842
2768,2021-02-23,Uttarakhand,155814
2769,2021-02-24,Uttarakhand,157621
2770,2021-02-25,Uttarakhand,161766
2771,2021-02-26,Uttarakhand,168602
2772,2021-02-27,Uttarakhand,168602
2773,2021-02-28,Uttarakhand,168604
2774,2021-01-03,Uttarakhand,168604
2775,2021-02-03,Uttarakhand,183073
2776,2021-03-03,Uttarakhand,194732
2777,2021-04-03,Uttarakhand,214010
2778,2021-05-03,Uttarakhand,231192
2779,2021-06-03,Uttarakhand,246725
2780,2021-07-03,Uttarakhand,247447
2781,2021-08-03,Uttarakhand,265744
2782,2021-09-03,Uttarakhand,284980
2783,2021-10-03,Uttarakhand,297920
2784,2021-11-03,Uttarakhand,300286
2785,2021-12-03,Uttarakhand,326575
2786,2021-03-13,Uttarakhand,342819
2787,2021-03-14,Uttarakhand,344881
2788,2021-03-15,Uttarakhand,371437
2789,2021-03-16,Uttarakhand,398942
2790,2021-03-17,Uttarakhand,417229
2791,2021-03-18,Uttarakhand,445867
2792,2021-03-19,Uttarakhand,473615
2793,2021-03-20,Uttarakhand,490078
2794,2021-03-21,Uttarakhand,493179
2795,2021-03-22,Uttarakhand,518821
2796,2021-03-23,Uttarakhand,544393
2797,2021-03-24,Uttarakhand,561615
2798,2021-03-25,Uttarakhand,586560
2799,2021-03-26,Uttarakhand,610300
2800,2021-03-27,Uttarakhand,622745
2801,2021-03-28,Uttarakhand,623035
2802,2021-03-29,Uttarakhand,623036
2803,2021-03-30,Uttarakhand,637654
2804,2021-03-31,Uttarakhand,654624
2805,2021-01-04,Uttarakhand,688079
2806,2021-02-04,Uttarakhand,729595
2807,2021-03-04,Uttarakhand,767226
2808,2021-01-16,West Bengal,1917
2809,2021-01-17,West Bengal,2085
2810,2021-01-18,West Bengal,5060
2811,2021-01-19,West Bengal,12364
2812,2021-01-20,West Bengal,14624
2813,2021-01-21,West Bengal,20206
2814,2021-01-22,West Bengal,41970
2815,2021-01-23,West Bengal,43180
2816,2021-01-24,West Bengal,46143
2817,2021-01-25,West Bengal,87815
2818,2021-01-26,West Bengal,88627
2819,2021-01-27,West Bengal,130937
2820,2021-01-28,West Bengal,161415
2821,2021-01-29,West Bengal,191566
2822,2021-01-30,West Bengal,214018
2823,2021-01-31,West Bengal,214256
2824,2021-01-02,West Bengal,238178
2825,2021-02-02,West Bengal,259341
2826,2021-03-02,West Bengal,271828
2827,2021-04-02,West Bengal,290908
2828,2021-05-02,West Bengal,314065
2829,2021-06-02,West Bengal,323825
2830,2021-07-02,West Bengal,323859
2831,2021-08-02,West Bengal,346113
2832,2021-09-02,West Bengal,372621
2833,2021-10-02,West Bengal,396442
2834,2021-11-02,West Bengal,421678
2835,2021-12-02,West Bengal,451987
2836,2021-02-13,West Bengal,481827
2837,2021-02-14,West Bengal,485365
2838,2021-02-15,West Bengal,525918
2839,2021-02-16,West Bengal,528075
2840,2021-02-17,West Bengal,551037
2841,2021-02-18,West Bengal,563290
2842,2021-02-19,West Bengal,632088
2843,2021-02-20,West Bengal,664855
2844,2021-02-21,West Bengal,669761
2845,2021-02-22,West Bengal,726880
2846,2021-02-23,West Bengal,788276
2847,2021-02-24,West Bengal,873017
2848,2021-02-25,West Bengal,978851
2849,2021-02-26,West Bengal,1092729
2850,2021-02-27,West Bengal,1092729
2851,2021-02-28,West Bengal,1092729
2852,2021-01-03,West Bengal,1092729
2853,2021-02-03,West Bengal,1170037
2854,2021-03-03,West Bengal,1261351
2855,2021-04-03,West Bengal,1352180
2856,2021-05-03,West Bengal,1448516
2857,2021-06-03,West Bengal,1537566
2858,2021-07-03,West Bengal,1547453
2859,2021-08-03,West Bengal,1684182
2860,2021-09-03,West Bengal,1838107
2861,2021-10-03,West Bengal,1973742
2862,2021-11-03,West Bengal,2045298
2863,2021-12-03,West Bengal,2228235
2864,2021-03-13,West Bengal,2350319
2865,2021-03-14,West Bengal,2364048
2866,2021-03-15,West Bengal,2600427
2867,2021-03-16,West Bengal,2800616
2868,2021-03-17,West Bengal,2933894
2869,2021-03-18,West Bengal,3062022
2870,2021-03-19,West Bengal,3340927
2871,2021-03-20,West Bengal,3523151
2872,2021-03-21,West Bengal,3553637
2873,2021-03-22,West Bengal,3773786
2874,2021-03-23,West Bengal,4009310
2875,2021-03-24,West Bengal,4141274
2876,2021-03-25,West Bengal,4274300
2877,2021-03-26,West Bengal,4565559
2878,2021-03-27,West Bengal,4755358
2879,2021-03-28,West Bengal,4760551
2880,2021-03-29,West Bengal,4782446
2881,2021-03-30,West Bengal,4978607
2882,2021-03-31,West Bengal,5114649
2883,2021-01-04,West Bengal,5259931
2884,2021-02-04,West Bengal,5416108
2885,2021-03-04,West Bengal,5571559
