,Date,Status,state,cases
143,2020-04-30,Deceased,TT,75
144,2020-05-01,Confirmed,TT,2396
145,2020-05-01,Recovered,TT,962
146,2020-05-01,Deceased,TT,77
147,2020-05-02,Confirmed,TT,2564
148,2020-05-02,Recovered,TT,831
149,2020-05-02,Deceased,TT,92
150,2020-05-03,Confirmed,TT,2952
151,2020-05-03,Recovered,TT,911
152,2020-05-03,Deceased,TT,140
153,2020-05-04,Confirmed,TT,3656
154,2020-05-04,Recovered,TT,1082
155,2020-05-04,Deceased,TT,103
156,2020-05-05,Confirmed,TT,2971
157,2020-05-05,Recovered,TT,1295
158,2020-05-05,Deceased,TT,128
159,2020-05-06,Confirmed,TT,3602
160,2020-05-06,Recovered,TT,1161
161,2020-05-06,Deceased,TT,91
162,2020-05-07,Confirmed,TT,3344
163,2020-05-07,Recovered,TT,1475
164,2020-05-07,Deceased,TT,104
165,2020-05-08,Confirmed,TT,3339
166,2020-05-08,Recovered,TT,1111
167,2020-05-08,Deceased,TT,97
168,2020-05-09,Confirmed,TT,3175
169,2020-05-09,Recovered,TT,1414
170,2020-05-09,Deceased,TT,115
171,2020-05-10,Confirmed,TT,4311
172,2020-05-10,Recovered,TT,1669
173,2020-05-10,Deceased,TT,112
174,2020-05-11,Confirmed,TT,3592
175,2020-05-11,Recovered,TT,1579
176,2020-05-11,Deceased,TT,81
177,2020-05-12,Confirmed,TT,3562
178,2020-05-12,Recovered,TT,1905
179,2020-05-12,Deceased,TT,120
180,2020-05-13,Confirmed,TT,3726
181,2020-05-13,Recovered,TT,1963
182,2020-05-13,Deceased,TT,137
183,2020-05-14,Confirmed,TT,3991
184,2020-05-14,Recovered,TT,1594
185,2020-05-14,Deceased,TT,97
186,2020-05-15,Confirmed,TT,3808
187,2020-05-15,Recovered,TT,2234
188,2020-05-15,Deceased,TT,104
189,2020-05-16,Confirmed,TT,4794
190,2020-05-16,Recovered,TT,4012
191,2020-05-16,Deceased,TT,120
192,2020-05-17,Confirmed,TT,5049
193,2020-05-17,Recovered,TT,2538
194,2020-05-17,Deceased,TT,152
195,2020-05-18,Confirmed,TT,4628
196,2020-05-18,Recovered,TT,2482
197,2020-05-18,Deceased,TT,131
198,2020-05-19,Confirmed,TT,6154
199,2020-05-19,Recovered,TT,3032
200,2020-05-19,Deceased,TT,146
201,2020-05-20,Confirmed,TT,5720
202,2020-05-20,Recovered,TT,3113
203,2020-05-20,Deceased,TT,134
204,2020-05-21,Confirmed,TT,6023
205,2020-05-21,Recovered,TT,3131
206,2020-05-21,Deceased,TT,148
207,2020-05-22,Confirmed,TT,6536
208,2020-05-22,Recovered,TT,3280
209,2020-05-22,Deceased,TT,142
210,2020-05-23,Confirmed,TT,6663
211,2020-05-23,Recovered,TT,2576
212,2020-05-23,Deceased,TT,142
213,2020-05-24,Confirmed,TT,7111
214,2020-05-24,Recovered,TT,3285
215,2020-05-24,Deceased,TT,156
216,2020-05-25,Confirmed,TT,6414
217,2020-05-25,Recovered,TT,3012
218,2020-05-25,Deceased,TT,150
219,2020-05-26,Confirmed,TT,5907
220,2020-05-26,Recovered,TT,3585
221,2020-05-26,Deceased,TT,173
222,2020-05-27,Confirmed,TT,7246
223,2020-05-27,Recovered,TT,3434
224,2020-05-27,Deceased,TT,188
225,2020-05-28,Confirmed,TT,7254
226,2020-05-28,Recovered,TT,3171
227,2020-05-28,Deceased,TT,176
228,2020-05-29,Confirmed,TT,8138
229,2020-05-29,Recovered,TT,11735
230,2020-05-29,Deceased,TT,269
231,2020-05-30,Confirmed,TT,8364
232,2020-05-30,Recovered,TT,4303
233,2020-05-30,Deceased,TT,205
234,2020-05-31,Confirmed,TT,8789
235,2020-05-31,Recovered,TT,4928
236,2020-05-31,Deceased,TT,222
237,2020-06-01,Confirmed,TT,7723
238,2020-06-01,Recovered,TT,3882
239,2020-06-01,Deceased,TT,201
240,2020-06-02,Confirmed,TT,8812
241,2020-06-02,Recovered,TT,4531
242,2020-06-02,Deceased,TT,222
243,2020-06-03,Confirmed,TT,9689
244,2020-06-03,Recovered,TT,3789
245,2020-06-03,Deceased,TT,259
246,2020-06-04,Confirmed,TT,9847
247,2020-06-04,Recovered,TT,4390
248,2020-06-04,Deceased,TT,274
249,2020-06-05,Confirmed,TT,9472
250,2020-06-05,Recovered,TT,4770
251,2020-06-05,Deceased,TT,286
252,2020-06-06,Confirmed,TT,10408
253,2020-06-06,Recovered,TT,5433
254,2020-06-06,Deceased,TT,297
255,2020-06-07,Confirmed,TT,10882
256,2020-06-07,Recovered,TT,5191
257,2020-06-07,Deceased,TT,261
258,2020-06-08,Confirmed,TT,8536
259,2020-06-08,Recovered,TT,5171
260,2020-06-08,Deceased,TT,271
261,2020-06-09,Confirmed,TT,9981
262,2020-06-09,Recovered,TT,5634
263,2020-06-09,Deceased,TT,272
264,2020-06-10,Confirmed,TT,11156
265,2020-06-10,Recovered,TT,6275
266,2020-06-10,Deceased,TT,358
267,2020-06-11,Confirmed,TT,11135
268,2020-06-11,Recovered,TT,6044
269,2020-06-11,Deceased,TT,394
270,2020-06-12,Confirmed,TT,11306
271,2020-06-12,Recovered,TT,7263
272,2020-06-12,Deceased,TT,388
273,2020-06-13,Confirmed,TT,12039
274,2020-06-13,Recovered,TT,8092
275,2020-06-13,Deceased,TT,309
276,2020-06-14,Confirmed,TT,11405
277,2020-06-14,Recovered,TT,7358
278,2020-06-14,Deceased,TT,324
279,2020-06-15,Confirmed,TT,10032
280,2020-06-15,Recovered,TT,10639
281,2020-06-15,Deceased,TT,396
282,2020-06-16,Confirmed,TT,11086
283,2020-06-16,Recovered,TT,7226
284,2020-06-16,Deceased,TT,2004
285,2020-06-17,Confirmed,TT,13108
286,2020-06-17,Recovered,TT,6890
287,2020-06-17,Deceased,TT,341
288,2020-06-18,Confirmed,TT,13829
289,2020-06-18,Recovered,TT,10741
290,2020-06-18,Deceased,TT,343
291,2020-06-19,Confirmed,TT,14638
292,2020-06-19,Recovered,TT,9029
293,2020-06-19,Deceased,TT,364
294,2020-06-20,Confirmed,TT,15918
295,2020-06-20,Recovered,TT,13974
296,2020-06-20,Deceased,TT,308
297,2020-06-21,Confirmed,TT,15151
298,2020-06-21,Recovered,TT,9075
299,2020-06-21,Deceased,TT,426
300,2020-06-22,Confirmed,TT,13560
301,2020-06-22,Recovered,TT,10879
302,2020-06-22,Deceased,TT,312
303,2020-06-23,Confirmed,TT,15656
304,2020-06-23,Recovered,TT,10462
305,2020-06-23,Deceased,TT,468
306,2020-06-24,Confirmed,TT,16868
307,2020-06-24,Recovered,TT,13089
308,2020-06-24,Deceased,TT,424
309,2020-06-25,Confirmed,TT,18205
310,2020-06-25,Recovered,TT,13983
311,2020-06-25,Deceased,TT,401
312,2020-06-26,Confirmed,TT,18255
313,2020-06-26,Recovered,TT,10246
314,2020-06-26,Deceased,TT,381
315,2020-06-27,Confirmed,TT,20142
316,2020-06-27,Recovered,TT,14229
317,2020-06-27,Deceased,TT,414
318,2020-06-28,Confirmed,TT,19610
319,2020-06-28,Recovered,TT,11631
320,2020-06-28,Deceased,TT,384
321,2020-06-29,Confirmed,TT,18339
322,2020-06-29,Recovered,TT,13497
323,2020-06-29,Deceased,TT,417
