,Date,abbreviation,Confirmed,Deceased,Recovered,State,population,Total Doses Administered
96,2021-01-04,TN,838,10,985,Tamil Nadu,67900000,2954376
97,2021-01-04,TR,1,0,6,Tripura,3673917,694309
98,2021-01-04,TR,1,0,6,Tripura,3600000,694309
99,2021-01-04,UP,711,10,1054,Uttar Pradesh,199812341,5711292
100,2021-01-04,UT,301,8,695,Uttarakhand,10086292,688079
101,2021-01-04,WB,597,25,1347,West Bengal,91276115,5259931
102,2021-01-16,AN,3,0,0,Andaman and Nicobar Islands,380581,23
103,2021-01-16,AP,114,0,326,Andhra Pradesh,49700000,4216
104,2021-01-16,AR,6,0,8,Arunachal Pradesh,1383727,81
105,2021-01-16,AS,32,4,61,Assam,31205576,401
106,2021-01-16,BR,239,4,328,Bihar,104099452,2967
107,2021-01-16,CH,39,0,67,Chandigarh,1055450,120
108,2021-01-16,CT,566,7,615,Chhattisgarh,25545198,1040
109,2021-01-16,DL,299,6,397,Delhi,"16,787,941",892
110,2021-01-16,GA,83,3,69,Goa,1458545,50
111,2021-01-16,GJ,505,3,764,Gujarat,60439692,1146
112,2021-01-16,HP,71,1,83,Himachal Pradesh,6864602,202
113,2021-01-16,HR,167,4,218,Haryana,25351462,1864
114,2021-01-16,JH,119,1,158,Jharkhand,32988134,344
115,2021-01-16,JK,109,1,256,Jammu and Kashmir,12541302,377
116,2021-01-16,KA,584,4,676,Karnataka,61095297,3810
117,2021-01-16,KL,5960,27,5011,Kerala,33406061,1681
118,2021-01-16,LD,0,0,0,Lakshadweep,"64,473",16
119,2021-01-16,MH,2910,52,3039,Maharashtra,112374333,5726
120,2021-01-16,ML,2,0,15,Meghalaya,2966889,102
121,2021-01-16,MN,24,1,79,Manipur,2855794,181
122,2021-01-16,MP,365,5,793,Madhya Pradesh,72626809,9435
123,2021-01-16,MZ,4,0,16,Mizoram,1097206,105
124,2021-01-16,NL,15,0,2,Nagaland,1978502,94
125,2021-01-16,PB,175,14,322,Punjab,27743338,336
126,2021-01-16,RJ,238,2,558,Rajasthan,68548437,3285
127,2021-01-16,SK,5,0,10,Sikkim,610577,7
128,2021-01-16,TG,249,1,417,Telangana,35200000,317
129,2021-01-16,TN,610,6,775,Tamil Nadu,72147030,1167
130,2021-01-16,TN,610,6,775,Tamil Nadu,67900000,1167
131,2021-01-16,TR,4,1,7,Tripura,3673917,107
132,2021-01-16,TR,4,1,7,Tripura,3600000,107
133,2021-01-16,UP,523,12,930,Uttar Pradesh,199812341,2212
134,2021-01-16,UT,226,4,272,Uttarakhand,10086292,511
135,2021-01-16,WB,609,15,666,West Bengal,91276115,1917
136,2021-01-17,AN,1,0,1,Andaman and Nicobar Islands,380581,23
137,2021-01-17,AP,161,1,251,Andhra Pradesh,49700000,9251
138,2021-01-17,AR,3,0,7,Arunachal Pradesh,1383727,178
139,2021-01-17,AS,22,3,30,Assam,31205576,466
140,2021-01-17,BR,211,4,383,Bihar,104099452,3700
141,2021-01-17,CH,34,0,43,Chandigarh,1055450,120
142,2021-01-17,CT,323,7,351,Chhattisgarh,25545198,1040
143,2021-01-17,DL,246,8,385,Delhi,"16,787,941",1005
144,2021-01-17,GA,60,0,59,Goa,1458545,50
145,2021-01-17,GJ,518,2,704,Gujarat,60439692,2313
146,2021-01-17,HP,70,2,126,Himachal Pradesh,6864602,202
147,2021-01-17,HR,178,2,211,Haryana,25351462,2069
148,2021-01-17,JH,87,0,111,Jharkhand,32988134,344
149,2021-01-17,JK,126,0,182,Jammu and Kashmir,12541302,421
150,2021-01-17,KA,745,4,855,Karnataka,61095297,4506
151,2021-01-17,KL,5005,21,4408,Kerala,33406061,1836
152,2021-01-17,LD,0,0,0,Lakshadweep,"64,473",17
153,2021-01-17,MH,3081,50,2342,Maharashtra,112374333,6521
154,2021-01-17,ML,12,0,12,Meghalaya,2966889,102
155,2021-01-17,MN,21,0,58,Manipur,2855794,192
156,2021-01-17,MP,355,2,478,Madhya Pradesh,72626809,9435
157,2021-01-17,MZ,8,0,7,Mizoram,1097206,105
158,2021-01-17,NL,4,0,4,Nagaland,1978502,94
159,2021-01-17,PB,239,5,195,Punjab,27743338,338
160,2021-01-17,RJ,261,1,496,Rajasthan,68548437,3455
161,2021-01-17,SK,9,0,6,Sikkim,610577,7
162,2021-01-17,TG,299,2,379,Telangana,35200000,437
163,2021-01-17,TN,589,7,770,Tamil Nadu,72147030,1745
164,2021-01-17,TN,589,7,770,Tamil Nadu,67900000,1745
165,2021-01-17,TR,0,0,0,Tripura,3673917,107
166,2021-01-17,TR,0,0,0,Tripura,3600000,107
167,2021-01-17,UP,391,6,666,Uttar Pradesh,199812341,2224
